Original,Translation,she,he/she,he or she,he,,Original,she,he/she,he or she,he,% he
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she commits code.",0,14,7,78,79%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she reviews pull requests.",0,14,6,80,80%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she assesses potential problems.",0,18,1,81,81%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she fixes bugs.",0,16,2,82,82%
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,"As a software engineer, she reads/reviews code.",0,18,0,82,82%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she has meetings.",0,16,1,83,83%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she navigates code.",0,14,3,83,83%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she reads changes.",0,17,0,83,83%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she edits code.",0,13,3,84,84%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she edits artifacts.",0,12,3,85,85%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she writes documentation/wiki pages.",0,14,0,86,86%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she accepts changes.",0,10,2,87,88%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she produces on-line help.",0,9,2,87,89%
"As a software engineer, she accepts changes.","As a software engineer, he or she approves changes.",0,0,1,0,,"As a software engineer, she submits pull requests.",0,11,2,87,87%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she classifies requirements.",0,12,0,88,88%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she inspects code.",0,9,2,88,89%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she networks.",0,11,1,88,88%
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,"As a software engineer, she provides comments on project milestones.",0,11,0,89,89%
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,"As a software engineer, she fixes defects.",0,8,2,90,90%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she provides comments on commits.",0,10,0,90,90%
"As a software engineer, she accepts changes.","As a software engineer, he accepts changes.",0,0,0,1,,"As a software engineer, she helps others.",0,9,0,91,91%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she produces user documentation.",0,0,1,91,99%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she provides enhancements.",0,8,0,92,92%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she releases code versions.",0,7,1,92,92%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she browses the web.",0,6,0,94,94%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she maintains changes.",0,2,0,94,98%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she reads artifacts.",0,5,0,95,95%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she produces tutorials.",0,1,0,96,99%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she browses articles.",0,3,0,97,97%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she identifies constraints.",0,1,0,97,99%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she codes.",0,2,0,98,98%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she plans.",0,2,0,98,98%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she writes emails.",0,2,0,98,98%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she removes dead code.",0,1,0,99,99%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she restructures code.",0,1,0,99,99%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she writes artifacts.",0,1,0,99,99%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she learns.",0,0,0,100,100%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she provides comments on issues.",0,0,0,100,100%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she tests.",0,0,0,100,100%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, approve changes.",0,0,0,0,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves the changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves the changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he or she approves changes.",0,0,1,0,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives versions of code.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives versions of code.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives versions of code.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives versions of code.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he or she archives code versions.",0,0,1,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he archives code versions.",0,0,0,1,,,,,,,
"As a software engineer, she archives code versions.","As a software engineer, he/she archives code versions.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults with colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he consults his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he or she consults colleagues.",0,0,1,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he consults his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he consults his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he or she consults colleagues.",0,0,1,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks questions of his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she asks colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults with colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he/she consults colleagues.",0,1,0,0,,,,,,,
"As a software engineer, she asks coworkers.","As a software engineer, he asks his colleagues.",0,0,0,1,,,,,,,
